x,y
23.758645,37.971745
23.75866,37.971759
23.758682,37.97178
23.758712,37.971807
23.758758,37.971833
23.758817,37.971856
23.758882,37.971867
23.758949,37.971865
23.759015,37.971855
23.759079,37.971841
23.759143,37.971824
23.759206,37.971807
23.75927,37.97179
23.759333,37.971773
23.759397,37.971756
23.759461,37.971739
23.759524,37.971722
23.759588,37.971705
23.759652,37.971689
23.759716,37.971674
23.75978,37.971658
23.759844,37.971642
23.759907,37.971624
23.759969,37.971604
23.760031,37.971585
23.760093,37.971565
23.760154,37.971543
23.760216,37.971521
23.760277,37.971499
23.760335,37.971474
23.760394,37.971447
23.760452,37.971421
23.76051,37.971395
23.760569,37.971369
23.760627,37.971343
23.760685,37.971316
23.760744,37.97129
23.760802,37.971264
23.76086,37.971237
23.760918,37.971211
23.760976,37.971184
23.761033,37.971156
23.76109,37.971129
23.761148,37.971101
23.761205,37.971074
23.761262,37.971046
23.76132,37.971019
23.761377,37.970991
23.761434,37.970963
23.761491,37.970935
23.761548,37.970907
23.761605,37.970879
23.761662,37.970851
23.761719,37.970823
23.761776,37.970795
23.761833,37.970767
23.76189,37.970739
23.761947,37.970711
23.762003,37.970683
23.76206,37.970655
23.762116,37.970626
23.762173,37.970597
23.762229,37.970568
23.762285,37.970539
23.762342,37.97051
23.762398,37.970482
23.762454,37.970453
23.762511,37.970424
23.762567,37.970396
23.762624,37.970367
23.76268,37.970339
23.762737,37.97031
23.762794,37.970282
23.76285,37.970254
23.762907,37.970225
23.762964,37.970197
23.763021,37.970169
23.763077,37.970141
23.763134,37.970112
23.76319,37.970083
23.763244,37.970051
23.763298,37.97002
23.763352,37.969988
23.763398,37.96995
23.763444,37.969911
23.76349,37.969872
23.763536,37.969834
23.763578,37.969793
23.763621,37.969752
23.763663,37.969711
23.763706,37.96967
23.763749,37.969629
23.763791,37.969588
23.763834,37.969547
23.763877,37.969506
23.76392,37.969465
23.763963,37.969424
23.764006,37.969384
23.764048,37.969343
23.764091,37.969302
23.764134,37.969261
23.764177,37.96922
23.76422,37.96918
23.764263,37.969139
23.764306,37.969098
23.764348,37.969057
23.764391,37.969016
23.764434,37.968975
23.764477,37.968935
23.76452,37.968894
23.764564,37.968854
23.764607,37.968813
23.764651,37.968773
23.764695,37.968733
23.764738,37.968693
23.764782,37.968652
23.764826,37.968612
23.76487,37.968572
23.764917,37.968535
23.764965,37.968497
23.765012,37.968459
23.765059,37.968422
23.765108,37.968385
23.765158,37.96835
23.765207,37.968314
23.765257,37.968278
23.765307,37.968243
23.765359,37.968209
23.765411,37.968176
23.765463,37.968142
23.765518,37.968112
23.765573,37.968082
23.765628,37.968051
23.765683,37.968021
23.76574,37.967993
23.765798,37.967967
23.765857,37.967941
23.765916,37.967916
23.765977,37.967895
23.766039,37.967874
23.7661,37.967853
23.76615,37.967835
23.76619,37.967821
23.76622,37.967811
23.76626,37.967798
23.766311,37.967781
23.766372,37.967762
23.766435,37.967744
23.766498,37.967725
23.766561,37.967708
23.766626,37.967694
23.766691,37.96768
23.766756,37.967668
23.766822,37.967658
23.766888,37.967647
23.766954,37.967639
23.76702,37.96763
23.767086,37.967622
23.767153,37.967615
23.767219,37.967608
23.767286,37.967602
23.767352,37.967595
23.767419,37.96759
23.767486,37.967585
23.767552,37.967579
23.767619,37.967574
23.767686,37.967569
23.767753,37.967563
23.767819,37.967558
23.767886,37.967553
23.767953,37.967547
23.768019,37.967542
23.768086,37.967537
23.768153,37.967532
23.76822,37.967526
23.768286,37.96752
23.768353,37.967514
23.768419,37.967507
23.768486,37.967501
23.768552,37.967495
23.768619,37.967489
23.768686,37.967483
23.768752,37.967476
23.768819,37.96747
23.768885,37.967464
23.768952,37.967458
23.769019,37.967451
23.769085,37.967445
23.769152,37.967439
23.769218,37.967434
23.769285,37.967429
23.769352,37.967424
23.769419,37.967419
23.769485,37.967414
23.769552,37.967409
23.769619,37.967404
23.769686,37.967398
23.769752,37.967392
23.769819,37.967387
23.769886,37.967381
23.769952,37.967375
23.770019,37.96737
23.770086,37.967364
23.770151,37.967354
23.770217,37.967345
23.770283,37.967335
23.770349,37.967325
23.770415,37.967316
23.770481,37.967306
23.770546,37.967292
23.770611,37.967279
23.770675,37.967265
23.77074,37.967251
23.770805,37.967238
23.77087,37.967223
23.770934,37.967209
23.770999,37.967195
23.771063,37.967181
23.771128,37.967166
23.771192,37.967152
23.771257,37.967138
23.771322,37.967123
23.771387,37.96711
23.771451,37.967097
23.771516,37.967084
23.771581,37.967071
23.771647,37.967058
23.771712,37.967047
23.771777,37.967035
23.771843,37.967024
23.771909,37.967014
23.771975,37.967004
23.772041,37.966996
23.772107,37.966988
23.772174,37.966983
23.772241,37.966979
23.772308,37.966975
23.772375,37.966972
23.772442,37.966969
23.772509,37.966969
23.772576,37.966968
23.772643,37.966968
23.77271,37.966971
23.772776,37.966976
23.772843,37.966982
23.77291,37.966987
23.772976,37.966995
23.773042,37.967003
23.773108,37.967011
23.773175,37.967019
23.773241,37.967027
23.773307,37.967036
23.773373,37.967044
23.77344,37.967053
23.773506,37.967062
23.773572,37.967071
23.773638,37.96708
23.773704,37.96709
23.77377,37.967096
23.773837,37.967102
23.773903,37.967109
23.77397,37.967115
23.774036,37.967121
23.774103,37.967127
23.77417,37.967133
23.774236,37.967141
23.774302,37.967149
23.774369,37.967157
23.77443,37.967163
23.774481,37.967167
23.77452,37.96717
23.774548,37.967171
23.774588,37.967173
23.774638,37.967173
